doc_id,obra_id,unidad_id,unidad_tipo,titulo,autor,year_first_pub,decada_norm,genero_macro_normalizado,lengua,circuito,total_tokens,estructura_social_count,estructura_social_densidad,mediaciones_transatlanticas_count,mediaciones_transatlanticas_densidad,movilidad_orientacion_salida_count,movilidad_orientacion_salida_densidad,pobreza_hambre_alimentacion_count,pobreza_hambre_alimentacion_densidad,terra_casa_pertenencia_count,terra_casa_pertenencia_densidad,trabajo_deuda_count,trabajo_deuda_densidad,violencia_conflicto_count,violencia_conflicto_densidad
castelao_os_dous_de_sempre__cap_037,castelao_os_dous_de_sempre,cap_037,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,523,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_038,castelao_os_dous_de_sempre,cap_038,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,299,1,33.44,1,33.44,3,100.33,1,33.44,1,33.44,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_039,castelao_os_dous_de_sempre,cap_039,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,429,1,23.31,1,23.31,1,23.31,0,0.0,2,46.62,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_040,castelao_os_dous_de_sempre,cap_040,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,357,0,0.0,0,0.0,0,0.0,1,28.01,1,28.01,1,28.01,0,0.0
castelao_os_dous_de_sempre__cap_041,castelao_os_dous_de_sempre,cap_041,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,443,0,0.0,0,0.0,0,0.0,2,45.15,2,45.15,0,0.0,0,0.0
castelao_os_dous_de_sempre__cap_042,castelao_os_dous_de_sempre,cap_042,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,403,2,49.63,0,0.0,0,0.0,2,49.63,0,0.0,0,0.0,1,24.81
castelao_os_dous_de_sempre__cap_043,castelao_os_dous_de_sempre,cap_043,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,529,1,18.9,0,0.0,0,0.0,1,18.9,0,0.0,0,0.0,1,18.9
castelao_os_dous_de_sempre__cap_044,castelao_os_dous_de_sempre,cap_044,capitulo,Os dous de sempre,Alfonso Daniel Rodriguez Castelao,1934,1930,novela,gl,Galicia,428,0,0.0,1,23.36,0,0.0,0,0.0,2,46.73,0,0.0,0,0.0
contra_treta__cuento_001,contra_treta,cuento_001,cuento,Contratar,Emilia Pardo Bazán,1894,1890,cuento,es,,1576,4,25.38,1,6.35,19,120.56,6,38.07,10,63.45,6,38.07,0,0.0
cornada__cuento_001,cornada,cuento_001,cuento,Cornada,Emilia Pardo Bazán,1898,1890,cuento,es,,1557,0,0.0,0,0.0,4,25.69,0,0.0,3,19.27,1,6.42,1,6.42
curros_enriquez_aires_de_la_tierra__poesia_001,curros_enriquez_aires_de_la_tierra,poesia_001,poesia,Aires De La Tierra,Manuel Curros Enríquez,1880,1880,poesia,gl,Galicia,33203,60,18.07,19,5.72,24,7.23,49,14.76,183,55.12,68,20.48,48,14.46
de_polizon__cuento_001,de_polizon,cuento_001,cuento,De Polizón,Emilia Pardo Bazán,1895,1890,cuento,es,,1375,0,0.0,1,7.27,13,94.55,0,0.0,4,29.09,2,14.55,3,21.82
dieste_muriel_tei__unidad_001,dieste_muriel_tei,unidad_001,unidad_unica,Historias e invenciones de Félix Muriel,Rafael Dieste,1943,1940,novela,gl,Buenos Aires,44433,16,3.6,17,3.83,23,5.18,25,5.63,197,44.34,26,5.85,37,8.33
