archivo,doc_id,author,title,year_first_pub,year_edition,genre,subcorpus,lang,circuit,source,license,tei_file,notes,genero_macro_normalizado,decada_norm
nieto_del_cid,nieto_del_cid,Emilia Pardo Bazán,Nieto del Cid,1900,,sin_clasificar,,es,,,Dominio público,tei/nieto_del_cid.xml,,cuento,1900
poema_humilde,poema_humilde,Emilia Pardo Bazán,Poema Humilde,1900,,poesia,,es,,,Dominio público,tei/poema_humilde.xml,,poesia,1900
por_el_arte,por_el_arte,Emilia Pardo Bazán,Por el Arte,1891,,sin_clasificar,,es,,,Dominio público,tei/por_el_arte.xml,,cuento,1890
puntería,punteria,Emilia Pardo Bazán,Puntería,1892,,sin_clasificar,,es,,,Dominio público,tei/puntería.xml,Finales s. XIX,cuento,1890
santiago_el_mudo,santiago_el_mudo,Emilia Pardo Bazán,Santiago el Mudo,1894,,sin_clasificar,,es,,,Dominio público,tei/santiago_el_mudo.xml,,cuento,1890
testigo_irrecusable,testigo_irrecusable,Emilia Pardo Bazán,Testigo Irrecusable,1917,,sin_clasificar,,es,,,Dominio público,tei/testigo_irrecusable.xml,,cuento,1910
una_pasión,una_pasion,Emilia Pardo Bazán,Una Pasión,1909,,sin_clasificar,,es,,,Dominio público,tei/una_pasión.xml,,cuento,1900
viernes_santo,viernes_santo,Emilia Pardo Bazán,Viernes Santo,1891,,sin_clasificar,,es,,,Dominio público,tei/viernes_santo.xml,,cuento,1890
aguila_de_blason_001,aguila_de_blason,Ramón del Valle-Inclán,Águila de blasón,1907,,teatro,comedias_barbaras,es,,,Dominio público,tei/aguila_de_blason_001.xml,Primera parte de la trilogía Comedias bárbaras,teatro,1900
romance_de_lobos_001,romance_de_lobos,Ramón del Valle-Inclán,Romance de lobos,1908,,teatro,comedias_barbaras,es,,,Dominio público,tei/romance_de_lobos_001.xml,Segunda parte de la trilogía Comedias bárbaras,teatro,1900
cara_de_plata_001,cara_de_plata,Ramón del Valle-Inclán,Cara de plata,1923,,teatro,comedias_barbaras,es,,,Dominio público,tei/cara_de_plata_001.xml,Tercera parte de la trilogía Comedias bárbaras,teatro,1920
cantares_gallegos_001,cantares_gallegos,Rosalía de Castro,Cantares Gallegos,1863,,poesia,,es,,,Dominio público,tei/cantares_gallegos_001.xml,Primera obra publicada de Rosalía de Castro,poesia,1860
follas_novas_001,follas_novas,Rosalía de Castro,Follas Novas,1880,,poesia,,es,,,Dominio público,tei/follas_novas_001.xml,Segunda obra poética de Rosalía de Castro,poesia,1880
curros_enriquez_aires_de_la_tierra,curros_enriquez_aires_de_la_tierra,Manuel Curros Enríquez,Aires De La Tierra,1880,,poesia,,gl,Galicia,PDF,Dominio público,tei/curros_enriquez_aires_de_la_tierra.tei.xml,Segunda obra poética de Manuel Curros Enríquez,poesia,1880
queixumes_dos_pinos,queixumes_dos_pinos,Eduardo Pondal,Queixumes dos pinos,1886,,poesia,,gl,Galicia,Galiciana,Dominio público,tei/queixumes_dos_pinos.xml,Edicion electronica de Galiciana (Biblioteca Dixital de Galicia) 2019,poesia,1880
castelao_cousas_tei_v2,castelao_cousas,Alfonso Daniel Rodriguez Castelao,Cousas,1926,,prosa,,gl,Galicia,Webnode,Uso academico,tei/castelao_cousas_tei_v2.xml,Prosa breve (estampas y fragmentos) de Castelao,cuento,1920
retrincos,retrincos,Alfonso Daniel Rodriguez Castelao,Retrincos,1934,,prosa,,gl,Galicia,PDF,Uso academico,tei/retrincos.tei.xml,Prosa breve (relatos) - OCR a partir de PDF 15 páginas,cuento,1930
castelao_os_dous_de_sempre,castelao_os_dous_de_sempre,Alfonso Daniel Rodriguez Castelao,Os dous de sempre,1934,,novela,,gl,Galicia,PDF,Uso academico,tei/castelao_os_dous_de_sempre.xml,Novela de Castelao (Pressbooks 2013 / edición original 1934),novela,1930
dieste_viaje_duelo_perdicion_tei,dieste_viaje_duelo_perdicion_tei,Rafael Dieste,Viaje Duelo y Pérdición,1945,,tragedia,,gl,Galicia,PDF,Dominio público,tei/dieste_viaje_duelo_perdicion_tei.xml,Tragedia de Dieste (ABBYY FineReader OCR 2025 - Editorial Atlantida),novela,1940
supersticiones_de_galicia_y_preocupaciones_vulgares_tei,supersticiones_de_galicia_y_preocupaciones_vulgares_tei,Xesús Rodríguez López,Supersticiones de Galicia y preocupaciones vulgares,1943,,ensayo,,es,Buenos Aires,Internet Archive,Dominio público,tei/supersticiones_de_galicia_y_preocupaciones_vulgares_tei.xml,Estudio de folklore y costumbres gallegas (Editorial Nova Buenos Aires),ensayo,1940
as_cruces_de_pedra_na_galiza_castelao_tei,as_cruces_de_pedra_na_galiza_castelao_tei,Alfonso Daniel Rodriguez Castelao,As cruces de pedra na Galiza,1950,,ensayo,,gl,A Coruña,PDF,Dominio público,tei/as_cruces_de_pedra_na_galiza_castelao_tei.xml,Discurso académico sobre cruces de piedra en Galicia (Real Academia Galega 1950),ensayo,1950
sempre_en_galiza_castelao_tei,sempre_en_galiza_castelao_tei,Alfonso Daniel Rodriguez Castelao,Sempre en Galiza,1944,,ensayo,,gl,Buenos Aires,EPUB,Dominio público,tei/sempre_en_galiza_castelao_tei.xml,Ensayo político-memorial sobre Galicia escrito en el exilio argentino,ensayo,1940
manuel_antonio_de_catro_a_catro_tei,manuel_antonio_de_catro_a_catro_tei,Manuel Antonio,De catro a catro,1940,,poesia,,gl,A Coruña,EPUB,Dominio público,tei/manuel_antonio_de_catro_a_catro_tei.xml,Poesía vanguardista (publicación póstuma - autor 1900-1930),poesia,1940
dieste_muriel_tei,dieste_muriel_tei,Rafael Dieste,Historias e invenciones de Félix Muriel,1943,,novela,,gl,Buenos Aires,PDF,Dominio público,tei/dieste_muriel_tei.xml,Novela publicada póstumamente (Editorial Nova Buenos Aires 1943),novela,1940
